receiver_pseudo,sender_pseudo,msgs,attacks,fused_hits,fp,fn
106815,103995,13,0,0,0,0
106815,104175,7,0,0,0,0
106815,104415,9,0,0,0,0
106815,104775,12,0,0,0,0
106815,105075,6,0,0,0,0
106815,105135,4,0,0,0,0
106815,105195,14,0,0,0,0
106815,105315,13,0,0,0,0
106815,106095,14,0,0,0,0
106815,106515,2,0,0,0,0
106815,106875,13,0,0,0,0
106875,101293,4,0,0,0,0
106875,102135,37,0,0,0,0
106875,103335,18,0,0,0,0
106875,104175,48,0,0,0,0
106875,104295,10,0,0,0,0
106875,104415,59,0,0,0,0
106875,106575,17,0,0,0,0
106875,106815,13,0,0,0,0
106935,102855,15,0,0,0,0
106935,103155,1,0,0,0,0
106935,103335,15,0,0,0,0
106935,103635,13,0,0,0,0
106935,104115,1,0,0,0,0
106935,104655,42,0,0,0,0
106935,105315,18,0,0,0,0
106935,105795,2,0,0,0,0
106935,106275,17,0,0,0,0
106995,104355,6,0,0,0,0
106995,106335,5,0,0,0,0
107055,10873,24,0,0,0,0
107055,104295,46,0,0,0,0
107055,105435,13,0,0,0,0
107055,105615,19,0,0,0,0
107055,106215,8,0,0,0,0
107055,106455,12,0,0,0,0
107170,10752,30,0,0,0,0
107170,102615,33,0,0,0,0
107170,105255,32,0,0,0,0
107231,104775,5,0,0,0,0
107291,102615,264,0,0,0,0
107291,105255,236,0,0,0,0
107351,102615,24,0,0,0,0
107351,107291,36,0,0,0,0
