sender_pseudo,msgs,anomalies,non_anom,trust_raw,trust_blend
104955,4365,4365,0,0.0002289901534234028,0.0001940175578257416
102555,3485,3485,0,0.00028677946659019213,0.00023645559833101006
10151,2309,2309,0,0.00043271311120726956,0.0003387808060829681
106155,1356,1356,0,0.0007363770250368188,0.0005369269853754666
107351,1035,1035,0,0.0009643201542912247,0.0006768200718853346
1,631,631,0,0.001579778830963665,0.0010298604533257815
103755,224,224,0,0.004424778761061947,0.002422564956399301
202555,146,146,0,0.006756756756756757,0.003408581174836426
204955,146,146,0,0.006756756756756757,0.003408581174836426
20151,114,114,0,0.008620689655172414,0.004134939681237658
40151,109,109,0,0.009009009009009009,0.004280716112660754
60151,100,100,0,0.00980392156862745,0.004573830201903922
206155,60,60,0,0.016129032258064516,0.006702543249538852
50151,48,48,0,0.02,0.007868282380935813
30151,40,40,0,0.023809523809523808,0.008937987216838125
207351,36,36,0,0.02631578947368421,0.009605747850196283
203755,8,8,0,0.1,0.022211178965800087
2704955,1,1,0,0.3333333333333333,0.023356156119039642
2704956,1,1,0,0.3333333333333333,0.023356156119039642
2804955,1,1,0,0.3333333333333333,0.023356156119039642
2804956,1,1,0,0.3333333333333333,0.023356156119039642
2904955,1,1,0,0.3333333333333333,0.023356156119039642
2904956,1,1,0,0.3333333333333333,0.023356156119039642
3004955,1,1,0,0.3333333333333333,0.023356156119039642
2604956,1,1,0,0.3333333333333333,0.023356156119039642
80151,1,1,0,0.3333333333333333,0.023356156119039642
90151,1,1,0,0.3333333333333333,0.023356156119039642
90153,1,1,0,0.3333333333333333,0.023356156119039642
100151,1,1,0,0.3333333333333333,0.023356156119039642
80153,1,1,0,0.3333333333333333,0.023356156119039642
50153,1,1,0,0.3333333333333333,0.023356156119039642
60153,1,1,0,0.3333333333333333,0.023356156119039642
2004956,1,1,0,0.3333333333333333,0.023356156119039642
1904956,1,1,0,0.3333333333333333,0.023356156119039642
2204955,1,1,0,0.3333333333333333,0.023356156119039642
2104955,1,1,0,0.3333333333333333,0.023356156119039642
2206157,1,1,0,0.3333333333333333,0.023356156119039642
2304955,1,1,0,0.3333333333333333,0.023356156119039642
2304956,1,1,0,0.3333333333333333,0.023356156119039642
2104956,1,1,0,0.3333333333333333,0.023356156119039642
2404955,1,1,0,0.3333333333333333,0.023356156119039642
2404956,1,1,0,0.3333333333333333,0.023356156119039642
2504955,1,1,0,0.3333333333333333,0.023356156119039642
2406156,1,1,0,0.3333333333333333,0.023356156119039642
2504956,1,1,0,0.3333333333333333,0.023356156119039642
2506156,1,1,0,0.3333333333333333,0.023356156119039642
2604955,1,1,0,0.3333333333333333,0.023356156119039642
2204956,1,1,0,0.3333333333333333,0.023356156119039642
1204955,1,1,0,0.3333333333333333,0.023356156119039642
1304955,1,1,0,0.3333333333333333,0.023356156119039642
1504955,1,1,0,0.3333333333333333,0.023356156119039642
1404955,1,1,0,0.3333333333333333,0.023356156119039642
1604956,1,1,0,0.3333333333333333,0.023356156119039642
1704955,1,1,0,0.3333333333333333,0.023356156119039642
1704956,1,1,0,0.3333333333333333,0.023356156119039642
1604955,1,1,0,0.3333333333333333,0.023356156119039642
3004956,1,1,0,0.3333333333333333,0.023356156119039642
3104956,1,1,0,0.3333333333333333,0.023356156119039642
3204956,1,1,0,0.3333333333333333,0.023356156119039642
3304956,1,1,0,0.3333333333333333,0.023356156119039642
3404955,1,1,0,0.3333333333333333,0.023356156119039642
100153,1,1,0,0.3333333333333333,0.023356156119039642
70151,1,1,0,0.3333333333333333,0.023356156119039642
70153,1,1,0,0.3333333333333333,0.023356156119039642
930152,1,1,0,0.3333333333333333,0.023356156119039642
920152,1,1,0,0.3333333333333333,0.023356156119039642
910152,1,1,0,0.3333333333333333,0.023356156119039642
960152,1,1,0,0.3333333333333333,0.023356156119039642
980152,1,1,0,0.3333333333333333,0.023356156119039642
990152,1,1,0,0.3333333333333333,0.023356156119039642
1000152,1,1,0,0.3333333333333333,0.023356156119039642
940152,1,1,0,0.3333333333333333,0.023356156119039642
1004955,1,1,0,0.3333333333333333,0.023356156119039642
1104955,1,1,0,0.3333333333333333,0.023356156119039642
760152,1,1,0,0.3333333333333333,0.023356156119039642
770152,1,1,0,0.3333333333333333,0.023356156119039642
780152,1,1,0,0.3333333333333333,0.023356156119039642
790152,1,1,0,0.3333333333333333,0.023356156119039642
800152,1,1,0,0.3333333333333333,0.023356156119039642
950152,1,1,0,0.3333333333333333,0.023356156119039642
804955,1,1,0,0.3333333333333333,0.023356156119039642
810152,1,1,0,0.3333333333333333,0.023356156119039642
830152,1,1,0,0.3333333333333333,0.023356156119039642
820152,1,1,0,0.3333333333333333,0.023356156119039642
850152,1,1,0,0.3333333333333333,0.023356156119039642
860152,1,1,0,0.3333333333333333,0.023356156119039642
870152,1,1,0,0.3333333333333333,0.023356156119039642
840152,1,1,0,0.3333333333333333,0.023356156119039642
880152,1,1,0,0.3333333333333333,0.023356156119039642
890152,1,1,0,0.3333333333333333,0.023356156119039642
604955,1,1,0,0.3333333333333333,0.023356156119039642
680153,1,1,0,0.3333333333333333,0.023356156119039642
690153,1,1,0,0.3333333333333333,0.023356156119039642
700153,1,1,0,0.3333333333333333,0.023356156119039642
704955,1,1,0,0.3333333333333333,0.023356156119039642
970152,1,1,0,0.3333333333333333,0.023356156119039642
710153,1,1,0,0.3333333333333333,0.023356156119039642
750152,1,1,0,0.3333333333333333,0.023356156119039642
480153,1,1,0,0.3333333333333333,0.023356156119039642
470153,1,1,0,0.3333333333333333,0.023356156119039642
500153,1,1,0,0.3333333333333333,0.023356156119039642
504955,1,1,0,0.3333333333333333,0.023356156119039642
510153,1,1,0,0.3333333333333333,0.023356156119039642
490153,1,1,0,0.3333333333333333,0.023356156119039642
520153,1,1,0,0.3333333333333333,0.023356156119039642
530153,1,1,0,0.3333333333333333,0.023356156119039642
550153,1,1,0,0.3333333333333333,0.023356156119039642
540153,1,1,0,0.3333333333333333,0.023356156119039642
560153,1,1,0,0.3333333333333333,0.023356156119039642
110151,1,1,0,0.3333333333333333,0.023356156119039642
390153,1,1,0,0.3333333333333333,0.023356156119039642
400153,1,1,0,0.3333333333333333,0.023356156119039642
404955,1,1,0,0.3333333333333333,0.023356156119039642
410153,1,1,0,0.3333333333333333,0.023356156119039642
420151,1,1,0,0.3333333333333333,0.023356156119039642
