scope,rows,attacks,predicted_fused,TP,FP,TN,FN,Accuracy,Precision,Recall,F1,Specificity,BalancedAcc
overall,127559.0,1481.0,4262.0,544,3718,122360,937,0.9635070829968877,0.12763960581886438,0.3673193787981094,0.18944802368100297,0.9705103190088675,0.6689148489034884
RSU_only,,,,0,35,126043,1481,0.9881153035066126,0.0,0.0,0.0,0.99972239407351,0.499861197036755
OBU_only,,,,544,3670,122408,937,0.9638833794557813,0.129093497864262,0.3673193787981094,0.191044776119403,0.9708910357080538,0.6691052072530816
