sender_pseudo,msgs,anomalies,non_anom,trust_raw,trust_blend
104955,216,216,0,0.0045871559633027525,0.003435618051332902
102555,215,215,0,0.004608294930875576,0.0034484871274052713
10151,111,111,0,0.008849557522123894,0.0058131668994467435
106155,94,94,0,0.010416666666666666,0.006603853537364119
107351,61,61,0,0.015873015873015872,0.009120012652454173
103755,14,14,0,0.0625,0.023562648695524508
10452,2,0,2,0.75,0.11470783842900761
107231,6,0,6,0.875,0.23703813209673114
10933,8,0,8,0.9,0.27529881222961833
105735,8,0,8,0.9,0.27529881222961833
105495,9,0,9,0.9090909090909091,0.2914139807878967
106995,11,0,11,0.9230769230769231,0.3193267875624176
102735,14,0,14,0.9375,0.35343973043286764
104055,17,0,17,0.9473684210526315,0.38120622958830763
10331,25,0,25,0.9629629629629629,0.4367781577322696
106035,27,0,27,0.9655172413793104,0.4478979361542223
10692,31,0,31,0.9696969696969697,0.4678631966560216
105375,35,0,35,0.972972972972973,0.48539786377099065
103695,37,0,37,0.9743589743589743,0.49342330551162467
10392,38,0,38,0.975,0.49727370995908604
106095,41,0,41,0.9767441860465116,0.5082403310162863
102855,44,0,44,0.9782608695652174,0.5184255949243066
101533,48,0,48,0.98,0.5309654158966778
103635,48,0,48,0.98,0.5309654158966778
101473,48,0,48,0.98,0.5309654158966778
102435,49,0,49,0.9803921568627451,0.5339352680618317
103575,57,0,57,0.9830508474576272,0.5556953738589814
102195,61,0,61,0.9841269841269841,0.5654407844521587
102375,68,0,68,0.9857142857142858,0.5810322102890864
101053,68,0,68,0.9857142857142858,0.5810322102890864
102255,69,0,69,0.9859154929577465,0.5831257336395288
103935,69,0,69,0.9859154929577465,0.5831257336395288
104355,73,0,73,0.9866666666666667,0.5912030516798843
104235,74,0,74,0.9868421052631579,0.5931522766626058
103815,82,0,82,0.9880952380952381,0.6078473430123659
10572,85,0,85,0.9885057471264368,0.612986138162809
105975,88,0,88,0.9888888888888889,0.6179442582263369
105855,88,0,88,0.9888888888888889,0.6179442582263369
10812,89,0,89,0.989010989010989,0.6195589595710287
106395,89,0,89,0.989010989010989,0.6195589595710287
105195,92,0,92,0.9893617021276596,0.6242949484581664
